Campaign Name,Merchant Number,Parent Name,city_id,Merchant Co-hort,Cuisine Type,promotion_type,min_basket_size,Promotion Duration (days),before_Completed Trips ,during_Completed Trips ,before_average_basket_size,during_average_basket_size,before_gross_bookings,during_gross_bookings,before_new_customer,during_new_customer,before_menu_session,during_menu_session,n_redemption,average_promotion_value_usd,Promo costs_usd,before_First Trips Eater,during_First Trips Eater,before_unique_eater,during_unique_eater
Enterprise Multiple Brand,894,Connor,94,Enterprise,Beverage,BOGO,0,14,387,468,6.9,7.5,2679.2,3511.0,125,173,794,1466,158,2.75,434.46,2,0,144,364
Enterprise Multiple Brand,895,Connor,94,Enterprise,Beverage,BOGO,0,14,43,67,4.3,9.5,185.0,637.3,26,50,96,654,53,3.19,169.23,0,0,17,62
Enterprise Multiple Brand,896,Connor,1944,Enterprise,Beverage,BOGO,0,14,195,320,5.5,7.1,1069.4,2283.7,95,178,494,1414,218,2.73,594.40,2,6,86,274
Enterprise Multiple Brand,897,Connor,94,Enterprise,Beverage,BOGO,0,14,108,338,7.1,7.9,765.3,2668.2,48,163,279,1496,230,2.90,667.35,0,9,49,277
Enterprise Multiple Brand,898,Connor,94,Enterprise,Beverage,BOGO,0,14,270,249,6.4,6.9,1728.3,1712.7,70,60,545,862,188,2.45,460.64,0,3,103,188
Enterprise Multiple Brand,899,Connor,94,Enterprise,Beverage,BOGO,0,14,179,259,6.9,7.7,1240.8,1982.1,75,105,371,1282,102,2.39,243.66,0,3,71,216
Enterprise Multiple Brand,900,Connor,94,Enterprise,Beverage,BOGO,0,14,81,85,7.2,8.2,582.1,697.8,48,48,128,658,15,2.88,43.17,0,0,37,70
Enterprise Multiple Brand,901,Connor,94,Enterprise,Beverage,BOGO,0,14,195,318,5.9,6.4,1151.4,2024.0,70,123,366,1068,140,2.30,321.46,0,0,85,241
Enterprise Multiple Brand,902,Connor,1944,Enterprise,Beverage,BOGO,0,14,205,385,5.8,7.1,1191.6,2727.1,90,150,501,1568,285,2.80,797.21,4,6,97,311
Enterprise Multiple Brand,903,Connor,94,Enterprise,Beverage,BOGO,0,14,274,361,7.4,7.9,2013.4,2839.1,114,153,489,1216,240,2.43,584.03,0,0,114,300
Enterprise Multiple Brand,904,Connor,1944,Enterprise,Beverage,BOGO,0,14,400,684,7.0,7.5,2816.8,5141.2,187,315,969,2758,380,2.82,1073.49,2,3,179,574
Enterprise Multiple Brand,905,Connor,2132,Enterprise,Beverage,BOGO,0,14,25,168,6.4,8.1,161.2,1355.9,20,113,135,1394,150,3.27,489.75,0,3,12,151
Enterprise Multiple Brand,906,Connor,1944,Enterprise,Beverage,BOGO,0,14,66,402,6.8,8.0,447.0,3206.2,75,320,240,1854,237,3.18,754.57,0,0,34,347
Enterprise Multiple Brand,907,Dozer,94,Enterprise,Japanese,BOGO,0,14,279,352,12.4,13.3,3450.3,4684.2,106,118,747,1434,135,1.29,173.77,0,3,124,291
Enterprise Multiple Brand,908,Dozer,94,Enterprise,Japanese,BOGO,0,14,277,443,14.1,14.7,3893.4,6524.3,161,268,869,1770,300,1.47,440.54,2,3,137,406
Enterprise Multiple Brand,909,Dozer,1944,Enterprise,Japanese,BOGO,0,14,178,280,17.9,19.0,3194.0,5327.7,97,120,1658,3470,147,2.21,324.93,0,3,92,274
Enterprise Multiple Brand,910,Dozer,94,Enterprise,Japanese,BOGO,0,14,78,90,12.6,16.1,975.0,1450.5,66,60,416,588,57,1.29,73.71,0,0,42,92
Enterprise Multiple Brand,911,Dozer,1854,Enterprise,Japanese,BOGO,0,14,164,135,15.7,20.5,2568.7,2770.3,70,48,1160,2744,75,3.23,242.46,0,0,78,129
Enterprise Multiple Brand,912,Dozer,1854,Enterprise,Japanese,BOGO,0,14,4,16,11.7,10.8,49.4,169.5,2,13,84,160,15,2.42,36.33,2,0,2,17
Enterprise Multiple Brand,913,Dozer,1139,Enterprise,Japanese,BOGO,0,14,275,392,15.3,13.2,4197.0,5183.2,108,180,995,2364,275,1.34,369.44,0,3,137,370
Enterprise Multiple Brand,914,Dozer,1854,Enterprise,Japanese,BOGO,0,14,250,344,14.0,11.7,3505.0,4024.8,110,113,923,2278,195,1.43,278.93,2,0,125,330
Enterprise Multiple Brand,915,Dozer,94,Enterprise,Japanese,BOGO,0,14,155,307,14.7,13.6,2275.4,4173.6,92,150,525,1152,180,1.59,286.95,0,3,70,269
Enterprise Multiple Brand,916,Dozer,1077,Enterprise,Japanese,BOGO,0,14,282,346,15.3,13.6,4324.5,4697.2,99,135,978,1928,248,1.44,356.34,0,0,139,339
Enterprise Multiple Brand,917,Dozer,965,Enterprise,Japanese,BOGO,0,14,294,464,14.1,14.5,4154.1,6722.7,207,288,1304,2400,312,1.36,425.50,8,9,151,442
Enterprise Multiple Brand,918,Dozer,2090,Enterprise,Japanese,BOGO,0,14,55,97,12.4,13.6,683.8,1320.9,48,73,362,888,83,1.81,150.38,0,0,26,95
Enterprise Multiple Brand,919,Dozer,1077,Enterprise,Japanese,BOGO,0,14,95,162,12.8,13.4,1217.3,2168.2,48,85,542,1230,110,1.41,155.35,0,9,49,154
Enterprise Multiple Brand,920,Dozer,94,Enterprise,Japanese,BOGO,0,14,159,141,12.7,13.9,2028.1,1969.2,15,23,416,956,75,1.94,145.52,0,0,59,132
Enterprise Multiple Brand,921,Dozer,1944,Enterprise,Japanese,BOGO,0,14,500,738,14.2,14.8,7098.0,10936.0,224,328,2127,4676,492,1.27,623.38,8,6,254,717
Enterprise Multiple Brand,922,Dozer,965,Enterprise,Japanese,BOGO,0,14,89,119,12.5,11.3,1110.0,1338.0,70,83,626,1262,80,1.39,110.86,0,0,47,118
Enterprise Multiple Brand,923,Dozer,94,Enterprise,Japanese,BOGO,0,14,274,189,15.0,14.3,4104.4,2708.9,117,80,1062,1182,120,1.18,141.35,0,0,132,179
Enterprise Multiple Brand,924,Dozer,94,Enterprise,Japanese,BOGO,0,14,183,238,13.4,14.4,2441.9,3422.5,62,68,500,874,117,1.25,146.40,0,3,88,204
Enterprise Multiple Brand,925,Dozer,94,Enterprise,Japanese,BOGO,0,14,306,404,16.0,15.9,4896.2,6412.3,97,148,1175,2684,233,1.32,307.77,0,0,149,389
Enterprise Multiple Brand,926,Dozer,1854,Enterprise,Japanese,BOGO,0,14,62,107,14.6,14.1,897.9,1514.2,44,65,434,936,75,1.29,96.97,0,9,31,98
Enterprise Multiple Brand,927,Dozer,965,Enterprise,Japanese,BOGO,0,14,571,804,14.8,13.9,8438.9,11173.8,200,268,1854,4970,462,1.53,708.58,4,15,289,736
Enterprise Multiple Brand,928,Dozer,94,Enterprise,Japanese,BOGO,0,14,133,213,15.2,15.3,2015.2,3258.4,55,95,450,1122,98,1.53,150.25,0,3,64,188
Enterprise Multiple Brand,929,Dozer,94,Enterprise,Japanese,BOGO,0,14,248,445,14.8,14.3,3663.6,6351.6,92,138,1346,3036,297,1.45,429.45,0,6,121,414
Enterprise Multiple Brand,930,Dozer,94,Enterprise,Japanese,BOGO,0,14,301,451,15.2,13.8,4591.4,6214.7,110,148,888,1770,222,1.66,369.03,0,3,144,398
Enterprise Multiple Brand,931,Dozer,94,Enterprise,Japanese,BOGO,0,14,192,300,14.7,14.7,2826.3,4424.2,101,138,653,1478,192,1.42,271.91,4,6,96,269
Enterprise Multiple Brand,932,Dozer,1944,Enterprise,Japanese,BOGO,0,14,70,110,11.7,13.2,816.6,1449.0,20,53,740,1850,50,1.44,71.89,2,0,34,106
Enterprise Multiple Brand,933,Dozer,94,Enterprise,Japanese,BOGO,0,14,194,306,15.2,15.4,2944.6,4716.4,66,150,872,1986,218,1.56,340.17,0,0,106,300
Enterprise Multiple Brand,934,Dozer,94,Enterprise,Japanese,BOGO,0,14,135,170,13.7,13.0,1850.7,2212.8,77,108,479,1056,72,1.47,106.16,4,0,68,160
Enterprise Multiple Brand,935,Dozer,1139,Enterprise,Japanese,BOGO,0,14,708,906,14.3,14.4,10112.6,13076.5,290,343,2775,6472,585,1.49,868.87,2,0,336,840
Enterprise Multiple Brand,936,Dozer,94,Enterprise,Japanese,BOGO,0,14,138,216,14.2,16.0,1966.0,3469.1,70,125,731,1532,140,1.19,167.22,0,9,71,216
Enterprise Multiple Brand,937,Dozer,1139,Enterprise,Japanese,BOGO,0,14,412,472,18.8,20.3,7738.4,9590.4,178,143,2828,5746,218,2.27,494.22,2,6,215,462
Enterprise Multiple Brand,938,Dozer,94,Enterprise,Japanese,BOGO,0,14,231,305,17.8,17.9,4111.7,5468.2,95,95,1661,3302,120,2.22,266.81,2,6,113,274
Enterprise Multiple Brand,939,Dozer,1854,Enterprise,Japanese,BOGO,0,14,94,135,10.6,11.2,996.5,1511.5,53,55,669,1606,80,1.49,119.06,2,0,48,126
Enterprise Multiple Brand,940,Dozer,1944,Enterprise,Japanese,BOGO,0,14,259,290,17.5,21.5,4531.6,6239.4,103,123,2156,4424,102,2.32,236.21,2,3,134,274
Enterprise Multiple Brand,941,Dozer,1077,Enterprise,Japanese,BOGO,0,14,229,393,12.6,13.0,2880.8,5106.7,147,273,903,2346,222,1.88,417.62,2,0,114,386
Enterprise Multiple Brand,942,Dozer,1854,Enterprise,Japanese,BOGO,0,14,155,238,11.7,12.3,1822.4,2940.7,86,110,704,1904,132,1.51,199.21,0,0,71,224
Enterprise Multiple Brand,943,Dozer,965,Enterprise,Japanese,BOGO,0,14,551,748,12.6,13.1,6912.6,9762.2,216,300,2145,5024,428,1.40,598.83,0,9,275,717
Enterprise Multiple Brand,944,Dozer,1077,Enterprise,Japanese,BOGO,0,14,56,124,11.4,14.2,636.0,1757.2,35,60,537,1086,102,1.80,183.30,0,6,29,106
Enterprise Multiple Brand,945,Dozer,94,Enterprise,Japanese,BOGO,0,14,169,349,14.7,15.6,2494.4,5448.4,134,255,701,1582,230,1.43,329.30,4,0,85,325
Enterprise Multiple Brand,946,Dozer,94,Enterprise,Japanese,BOGO,0,14,298,432,14.6,15.6,4351.6,6735.1,139,135,987,2132,312,1.49,465.72,0,0,154,412
Enterprise Multiple Brand,947,Dozer,1854,Enterprise,Japanese,BOGO,0,14,126,163,13.7,14.2,1734.5,2315.4,64,70,597,1584,110,1.63,179.81,0,0,65,154
Enterprise Multiple Brand,948,Dozer,1854,Enterprise,Japanese,BOGO,0,14,144,170,15.2,18.7,2188.8,3174.9,59,63,1473,3774,60,2.29,137.45,2,0,73,179
Enterprise Multiple Brand,949,Dozer,1854,Enterprise,Japanese,BOGO,0,14,155,265,13.4,13.4,2075.5,3545.0,103,158,657,1804,155,1.24,191.60,2,3,78,246
Enterprise Multiple Brand,950,Dozer,1077,Enterprise,Japanese,BOGO,0,14,183,291,14.2,14.8,2601.8,4310.1,99,120,900,2274,230,2.01,463.04,6,12,95,288
Enterprise Multiple Brand,951,Dozer,94,Enterprise,Japanese,BOGO,0,14,173,267,16.1,15.8,2783.3,4204.9,125,173,894,1912,188,1.47,275.55,0,6,92,269
Enterprise Multiple Brand,952,Dozer,94,Enterprise,Japanese,BOGO,0,14,341,308,15.1,14.3,5151.1,4400.5,128,108,1287,1976,203,1.26,255.39,4,9,158,302
Enterprise Multiple Brand,953,Dozer,94,Enterprise,Japanese,BOGO,0,14,843,1245,14.7,13.6,12402.0,16939.2,418,520,3117,5534,680,1.34,911.20,6,12,408,1100
Enterprise Multiple Brand,954,Dozer,94,Enterprise,Japanese,BOGO,0,14,240,516,16.1,15.9,3881.7,8194.8,154,273,936,2412,342,1.36,465.89,2,0,126,501
Enterprise Multiple Brand,955,Dozer,94,Enterprise,Japanese,BOGO,0,14,276,495,14.2,14.6,3926.8,7218.1,174,258,915,2066,278,1.33,368.55,2,0,136,440
Enterprise Multiple Brand,956,Dozer,94,Enterprise,Japanese,BOGO,0,14,130,223,14.6,13.9,1902.5,3088.7,95,150,567,1468,162,1.73,280.19,0,3,70,224
Enterprise Multiple Brand,957,Dozer,94,Enterprise,Japanese,BOGO,0,14,269,414,14.5,16.3,3886.1,6754.7,86,123,1010,2408,263,1.22,319.87,0,0,126,392
Enterprise Multiple Brand,958,Dozer,1854,Enterprise,Japanese,BOGO,0,14,102,169,14.1,16.8,1438.7,2838.8,57,93,1526,3304,105,2.23,234.32,2,0,56,168
Enterprise Multiple Brand,959,Dozer,1077,Enterprise,Japanese,BOGO,0,14,209,347,13.2,13.0,2758.7,4505.8,101,153,785,2080,222,1.70,377.25,0,0,104,328
Enterprise Multiple Brand,960,Dozer,965,Enterprise,Japanese,BOGO,0,14,582,831,12.8,13.7,7445.8,11404.4,189,280,2411,5742,477,1.42,676.09,4,6,301,792
Enterprise Multiple Brand,961,Dozer,94,Enterprise,Japanese,BOGO,0,14,178,254,14.8,15.8,2644.5,4023.0,97,93,987,2080,173,1.15,198.68,0,3,91,232
Enterprise Multiple Brand,962,Dozer,94,Enterprise,Japanese,BOGO,0,14,300,451,14.0,14.9,4203.5,6708.9,112,195,1355,2872,297,1.38,409.21,0,3,148,440
Enterprise Multiple Brand,963,Dozer,94,Enterprise,Japanese,BOGO,0,14,192,267,14.8,14.7,2848.2,3917.4,81,98,803,1940,185,1.32,244.11,2,3,94,258
Enterprise Multiple Brand,964,Dozer,965,Enterprise,Japanese,BOGO,0,14,329,533,14.4,13.9,4747.9,7421.9,189,310,1517,3326,300,1.41,424.44,0,3,176,526
Enterprise Multiple Brand,965,Dozer,94,Enterprise,Japanese,BOGO,0,14,477,683,13.4,14.2,6395.0,9661.4,165,155,1445,3068,410,1.34,551.38,2,3,235,591
Enterprise Multiple Brand,966,Dozer,1139,Enterprise,Japanese,BOGO,0,14,584,881,13.2,14.1,7730.3,12391.7,189,300,2511,5730,560,1.35,753.45,2,6,301,829
Enterprise Multiple Brand,967,Dozer,965,Enterprise,Japanese,BOGO,0,14,247,400,13.4,12.9,3322.0,5173.9,79,168,1064,2786,222,1.39,308.16,0,3,118,361
Enterprise Multiple Brand,968,Dozer,965,Enterprise,Japanese,BOGO,0,14,66,133,13.5,15.8,890.2,2112.9,33,68,954,2004,60,2.15,129.29,0,6,34,137
Enterprise Multiple Brand,969,Dozer,1854,Enterprise,Japanese,BOGO,0,14,138,220,10.8,12.3,1482.0,2712.5,70,105,701,1600,125,1.34,167.37,2,0,62,202
Enterprise Multiple Brand,970,Dozer,1077,Enterprise,Japanese,BOGO,0,14,89,156,12.2,11.5,1089.0,1791.3,66,98,558,1496,95,1.72,163.87,0,3,46,146
Enterprise Multiple Brand,971,Dozer,94,Enterprise,Japanese,BOGO,0,14,1192,1806,13.6,13.7,16200.9,24778.5,411,615,4367,8504,1005,1.40,1406.88,2,6,542,1593
Enterprise Multiple Brand,972,Dozer,94,Enterprise,Japanese,BOGO,0,14,140,288,16.6,15.1,2323.9,4331.4,92,160,717,1520,192,1.31,251.58,0,0,76,277
Enterprise Multiple Brand,973,Dozer,94,Enterprise,Japanese,BOGO,0,14,39,120,13.3,13.9,521.8,1673.5,24,108,186,1260,95,1.55,147.47,0,0,19,123
Enterprise Multiple Brand,974,Dozer,1077,Enterprise,Japanese,BOGO,0,14,165,351,12.5,12.6,2060.9,4428.8,62,158,915,2768,233,1.77,413.16,8,3,79,330
Enterprise Multiple Brand,975,Dozer,94,Enterprise,Japanese,BOGO,0,14,140,236,15.9,16.3,2220.2,3843.5,66,90,683,1518,162,1.60,259.86,2,3,68,224
Enterprise Multiple Brand,976,Dozer,1139,Enterprise,Japanese,BOGO,0,14,412,560,14.6,15.5,6037.4,8688.2,110,185,1254,2850,375,1.28,480.94,2,0,199,538
Enterprise Multiple Brand,977,Dozer,1854,Enterprise,Japanese,BOGO,0,14,114,236,13.3,14.8,1517.0,3493.0,57,105,704,1838,188,1.57,295.77,2,6,64,232
Enterprise Multiple Brand,978,Dozer,1944,Enterprise,Japanese,BOGO,0,14,198,295,13.4,15.4,2645.5,4539.3,106,120,1107,2528,210,1.41,295.20,8,9,107,283
Enterprise Multiple Brand,979,Dozer,2090,Enterprise,Japanese,BOGO,0,14,165,233,13.2,11.9,2173.7,2774.4,90,123,989,1658,147,1.94,284.47,2,9,85,230
Enterprise Multiple Brand,980,Dozer,965,Enterprise,Japanese,BOGO,0,14,241,401,16.0,17.5,3862.3,7002.8,86,193,2568,7430,200,2.20,439.29,0,0,128,403
Enterprise Multiple Brand,981,Dozer,94,Enterprise,Japanese,BOGO,0,14,398,482,13.5,16.3,5377.6,7854.7,176,210,1397,2696,275,1.40,385.67,0,0,193,431
Enterprise Multiple Brand,982,Dozer,94,Enterprise,Japanese,BOGO,0,14,283,419,16.1,15.1,4567.7,6324.2,143,193,884,1658,215,1.48,317.14,2,6,131,361
Enterprise Multiple Brand,983,Dozer,94,Enterprise,Japanese,BOGO,0,14,270,414,14.6,14.9,3934.4,6176.0,147,245,993,2154,270,1.53,412.27,0,0,134,398
Enterprise Multiple Brand,984,Dozer,94,Enterprise,Japanese,BOGO,0,14,246,377,13.4,14.4,3284.3,5427.7,97,158,666,1492,245,1.51,369.81,0,0,115,342
Enterprise Multiple Brand,985,Dozer,1944,Enterprise,Japanese,BOGO,0,14,410,597,13.5,12.9,5539.2,7715.2,152,165,1820,3902,335,1.33,446.37,4,3,205,515
Enterprise Multiple Brand,986,Dozer,94,Enterprise,Japanese,BOGO,0,14,255,378,13.4,13.8,3417.8,5223.7,99,140,1040,2464,248,1.63,405.05,0,3,130,372
Enterprise Multiple Brand,987,Dozer,1854,Enterprise,Japanese,BOGO,0,14,319,502,14.2,14.2,4529.0,7122.6,145,208,1508,2842,345,1.51,521.41,6,6,155,490
Enterprise Multiple Brand,988,Dozer,965,Enterprise,Japanese,BOGO,0,14,465,637,13.4,13.9,6236.7,8873.0,211,228,1955,3570,395,1.54,608.32,2,12,233,594
Enterprise Multiple Brand,989,Dozer,1077,Enterprise,Japanese,BOGO,0,14,206,283,11.7,13.2,2412.4,3730.8,97,145,806,2004,195,1.86,363.66,2,0,98,288
Enterprise Multiple Brand,990,Dozer,94,Enterprise,Japanese,BOGO,0,14,98,131,15.6,19.0,1519.8,2501.7,57,83,386,792,90,1.26,113.16,0,0,50,134
Enterprise Multiple Brand,991,Dozer,94,Enterprise,Japanese,BOGO,0,14,387,494,15.2,15.0,5858.9,7399.6,108,125,962,2456,240,1.35,323.50,0,0,182,417
Enterprise Multiple Brand,992,Dozer,1944,Enterprise,Japanese,BOGO,0,14,318,457,14.8,14.7,4715.9,6721.3,99,140,1149,2172,245,1.24,304.74,0,0,148,406
Enterprise Multiple Brand,993,Dozer,965,Enterprise,Japanese,BOGO,0,14,620,793,14.0,13.8,8706.0,10933.8,213,265,2903,6734,510,1.51,767.77,4,6,322,776
Enterprise Multiple Brand,994,Dozer,94,Enterprise,Japanese,BOGO,0,14,213,306,14.2,15.8,3018.8,4852.8,117,128,909,1746,143,1.33,190.71,2,9,100,288
Enterprise Multiple Brand,995,Dozer,94,Enterprise,Japanese,BOGO,0,14,392,450,15.1,14.8,5939.8,6663.4,101,120,1089,1724,245,1.24,304.73,4,6,180,417
