City,date,day_of_week,hour_beginning,trip_requests,completed_trips,first_trip_eaters,unique_eaters,session_numbers,gross_bookings,promo_costs,resto_payouts,delivery_partner_payouts,online_restaurant_numbers,active_restaurant_numbers,unfulfilled_trips,average_delivery_time,average_delivery_distance,online_minutes,on_trip_minutes,unique_drivers
1139,9-Nov,1,2,16,16,0,16,340,$135,$9,$80,$32,20,20,0,17.81,1.29,1363.50,480.95,45
1139,9-Nov,1,3,9,9,1,9,203,$56,$4,$32,$19,16,16,0,55.67,1.25,534.57,144.11,26
1139,9-Nov,1,4,5,4,0,4,176,$40,$0,$26,$12,7,7,0,21.50,2.16,522.46,102.28,17
1139,9-Nov,1,5,14,14,0,14,142,$104,$3,$60,$32,6,6,0,23.21,1.44,1253.78,262.02,43
1139,9-Nov,1,6,61,60,0,60,231,$462,$23,$282,$129,21,21,0,18.98,1.40,4066.21,1388.94,107
1139,9-Nov,1,7,67,67,1,66,335,$533,$45,$328,$136,62,62,0,19.37,1.26,8054.28,2628.58,199
1139,9-Nov,1,8,141,140,0,139,481,"$1,046",$61,$668,$285,100,100,0,18.88,1.25,12124.71,3940.40,272
1139,9-Nov,1,9,154,151,0,151,670,"$1,150",$58,$729,$308,112,112,0,19.54,1.29,14995.25,5057.99,339
1139,9-Nov,1,10,191,191,0,188,1874,"$1,674",$77,"$1,031",$414,146,145,0,20.83,1.47,20804.65,5359.57,515
1139,9-Nov,1,11,716,716,5,703,2393,"$7,920",$167,"$4,987","$1,683",320,318,0,23.30,1.54,37711.63,21121.05,799
1139,9-Nov,1,12,568,566,6,551,3965,"$5,395",$152,"$3,402","$1,357",664,662,0,21.93,1.45,44742.86,22876.00,838
1139,9-Nov,1,13,402,400,3,388,2300,"$3,592",$147,"$2,316",$942,677,675,0,19.21,1.39,36927.20,12936.53,793
1139,9-Nov,1,14,294,293,0,283,2240,"$2,550",$85,"$1,653",$617,596,594,0,19.67,1.39,26738.85,8627.52,633
1139,9-Nov,1,15,208,208,3,205,1351,"$2,100",$87,"$1,413",$441,485,483,0,20.72,1.34,23244.51,6526.45,511
1139,9-Nov,1,16,319,318,1,310,2303,"$3,449",$119,"$2,249",$681,492,490,0,21.77,1.52,25271.15,8615.61,607
1139,9-Nov,1,17,877,875,17,838,10125,"$10,874",$191,"$7,035","$1,868",591,589,0,30.14,1.59,41720.38,23348.51,932
1139,9-Nov,1,18,881,876,13,841,2959,"$10,030",$157,"$6,523","$1,880",749,747,0,24.98,1.52,54352.26,35889.77,1053
1139,9-Nov,1,19,606,606,4,590,2145,"$6,310",$141,"$4,042","$1,269",744,742,0,21.87,1.43,49452.07,24255.97,1017
1139,9-Nov,1,20,404,404,7,389,2338,"$3,952",$100,"$2,560",$847,695,693,0,21.22,1.41,35540.81,14842.48,829
1139,9-Nov,1,21,297,297,2,287,2056,"$2,649",$90,"$1,695",$616,499,499,0,19.79,1.32,26336.58,9721.45,606
1139,9-Nov,1,22,242,240,2,237,1218,"$2,194",$79,"$1,379",$511,307,307,0,19.67,1.45,19415.95,6860.22,448
1139,9-Nov,1,23,176,176,1,170,1026,"$1,565",$71,$936,$372,186,186,0,22.36,1.48,12844.65,4534.35,303
1139,10-Nov,2,0,109,109,2,108,742,"$1,074",$61,$653,$233,108,108,0,20.93,1.45,7159.02,2703.83,184
1139,10-Nov,2,1,40,39,0,38,555,$317,$20,$193,$82,67,67,0,19.23,1.44,3387.88,1215.44,97
1139,10-Nov,2,2,21,21,0,21,370,$166,$5,$96,$42,21,21,0,17.43,1.22,1254.54,472.50,41
1139,10-Nov,2,3,13,13,0,13,291,$135,$7,$81,$28,13,13,0,24.62,1.78,507.32,181.15,18
1139,10-Nov,2,4,16,16,1,16,219,$177,$5,$106,$36,8,8,0,21.69,1.48,508.54,308.42,14
1139,10-Nov,2,5,15,15,0,15,0,$139,$13,$81,$36,7,7,0,24.47,1.81,732.37,287.96,34
1139,10-Nov,2,6,52,51,0,51,275,$424,$21,$270,$104,21,21,0,18.49,1.28,3579.06,1549.55,106
1139,10-Nov,2,7,93,93,2,93,390,$691,$43,$434,$184,77,77,0,42.19,1.23,7824.69,2836.70,197
1139,10-Nov,2,8,122,122,1,120,520,$873,$40,$538,$255,116,116,0,18.29,1.45,12476.42,4085.48,280
1139,10-Nov,2,9,165,165,1,164,754,"$1,298",$73,$828,$340,129,129,0,18.51,1.34,16149.41,4536.70,361
1139,10-Nov,2,10,189,189,1,184,1071,"$1,967",$74,"$1,281",$418,162,161,0,21.81,1.56,22442.67,4812.86,578
1139,10-Nov,2,11,773,772,7,752,1999,"$8,783",$158,"$5,663","$1,825",331,329,0,23.73,1.54,41474.81,23883.80,866
1139,10-Nov,2,12,637,637,6,618,1557,"$6,173",$140,"$3,898","$1,508",697,695,0,20.95,1.43,49504.03,24367.33,942
1139,10-Nov,2,13,371,371,5,360,1218,"$3,267",$132,"$2,070",$858,708,706,0,20.89,1.33,40197.33,13149.43,864
1139,10-Nov,2,14,294,292,2,282,995,"$2,596",$102,"$1,657",$606,621,619,0,20.07,1.36,29476.81,9518.99,677
1139,10-Nov,2,15,235,235,3,225,946,"$2,231",$81,"$1,462",$494,519,517,0,20.34,1.36,24592.18,7088.12,568
1139,10-Nov,2,16,313,312,2,304,1306,"$3,340",$140,"$2,230",$660,524,522,0,22.20,1.40,27226.51,7487.17,667
1139,10-Nov,2,17,793,792,13,766,2056,"$9,192",$183,"$5,887","$1,677",624,622,0,24.05,1.54,43134.79,22215.11,968
1139,10-Nov,2,18,893,891,8,861,2027,"$10,325",$170,"$6,651","$1,921",810,808,0,23.62,1.54,55741.38,34589.83,1088
1139,10-Nov,2,19,592,589,3,575,1574,"$6,273",$142,"$4,075","$1,265",809,807,0,22.69,1.52,51589.41,24376.15,1078
1139,10-Nov,2,20,444,442,7,426,1268,"$4,492",$136,"$2,918",$927,743,741,0,26.65,1.38,40077.96,15492.50,870
1139,10-Nov,2,21,319,317,2,311,1117,"$2,949",$107,"$1,880",$669,536,536,0,34.67,1.45,30399.32,7711.76,696
1139,10-Nov,2,22,227,227,5,224,1001,"$2,157",$90,"$1,351",$457,325,325,0,27.32,1.29,22891.34,8872.71,523
1139,10-Nov,2,23,199,197,2,192,849,"$1,759",$61,"$1,080",$418,196,196,0,19.43,1.45,15495.31,5320.36,371
1139,11-Nov,3,0,97,96,0,94,613,$913,$52,$551,$204,119,119,0,31.71,1.59,8325.45,2383.42,230
1139,11-Nov,3,1,72,72,2,69,480,$681,$31,$397,$152,69,69,0,21.99,1.59,4135.95,1628.18,111
1139,11-Nov,3,2,19,19,0,18,324,$198,$8,$119,$40,23,23,0,28.26,1.48,1958.39,585.30,64
1139,11-Nov,3,3,13,13,0,13,244,$104,$7,$57,$29,14,14,0,49.08,1.96,1025.42,378.71,33
1139,11-Nov,3,4,5,5,0,5,0,$55,$0,$33,$12,8,8,0,19.80,1.86,694.31,130.34,20
1139,11-Nov,3,5,12,12,0,12,166,$100,$8,$60,$28,7,7,0,19.67,1.49,1220.11,257.60,41
1139,11-Nov,3,6,45,45,0,45,227,$348,$15,$208,$93,19,19,0,18.18,1.42,3856.10,1505.73,107
1139,11-Nov,3,7,88,88,0,87,338,$665,$24,$410,$182,80,80,0,36.40,1.32,8271.12,2950.29,211
1139,11-Nov,3,8,122,122,1,122,516,$893,$45,$563,$245,119,119,0,19.05,1.29,12642.40,4206.07,303
1139,11-Nov,3,9,174,174,0,171,626,"$1,466",$73,$935,$353,133,133,0,20.02,1.33,15513.51,4732.81,367
1139,11-Nov,3,10,174,171,0,170,1063,"$1,471",$76,$919,$372,167,166,0,20.41,1.47,22051.43,5212.63,556
1139,11-Nov,3,11,753,752,6,721,2874,"$8,874",$153,"$5,715","$1,799",341,339,0,23.80,1.55,40143.35,22427.03,858
1139,11-Nov,3,12,640,636,12,616,2882,"$6,489",$166,"$4,160","$1,523",722,720,0,22.29,1.48,48957.29,24257.45,930
1139,11-Nov,3,13,424,421,4,405,2427,"$4,080",$164,"$2,604",$985,741,739,0,21.29,1.37,41233.00,14251.12,875
1139,11-Nov,3,14,271,269,4,262,1470,"$2,510",$85,"$1,638",$568,641,639,0,19.83,1.35,30219.34,9946.04,698
1139,11-Nov,3,15,252,251,4,235,1235,"$2,511",$91,"$1,589",$526,512,510,0,21.43,1.35,26185.80,7656.97,587
1139,11-Nov,3,16,316,315,6,308,1487,"$3,160",$151,"$2,022",$669,524,522,0,21.52,1.44,28024.52,8347.62,653
1139,11-Nov,3,17,842,838,12,810,2314,"$10,445",$184,"$6,924","$1,796",614,612,0,25.27,1.55,40922.12,22033.49,938
1139,11-Nov,3,18,918,914,4,878,2166,"$10,249",$175,"$6,577","$1,933",830,828,0,27.07,1.52,51833.87,36491.46,1044
1139,11-Nov,3,19,652,651,5,628,1683,"$6,858",$161,"$4,374","$1,371",826,824,0,23.43,1.43,47593.10,26171.34,988
1139,11-Nov,3,20,415,414,5,402,1442,"$4,145",$102,"$2,718",$869,750,748,0,20.87,1.43,34235.17,15058.49,786
1139,11-Nov,3,21,326,323,2,305,1231,"$3,144",$94,"$2,053",$681,535,535,0,24.40,1.40,25357.86,10648.82,589
1139,11-Nov,3,22,252,252,1,244,1064,"$2,270",$95,"$1,379",$537,322,322,0,25.38,1.52,18741.67,7144.87,444
1139,11-Nov,3,23,181,180,0,175,807,"$1,625",$82,$992,$385,193,193,0,30.66,1.50,12362.75,4667.23,303
1139,12-Nov,4,0,115,115,0,109,663,"$1,073",$51,$637,$244,118,118,0,21.51,1.62,7448.38,2828.49,182
1139,12-Nov,4,1,70,69,0,69,486,$654,$31,$394,$140,68,68,0,35.62,1.47,4163.13,1378.82,108
1139,12-Nov,4,2,28,28,0,28,314,$224,$17,$127,$57,21,21,0,19.32,1.60,1926.82,637.65,47
1139,12-Nov,4,3,7,7,0,7,219,$55,$2,$33,$15,15,15,0,89.43,1.18,1007.23,130.97,32
1139,12-Nov,4,4,7,7,0,6,147,$56,$4,$33,$17,8,8,0,23.57,1.37,1142.18,155.08,28
1139,12-Nov,4,5,18,17,0,17,157,$113,$6,$65,$44,7,7,0,29.17,1.53,1313.74,322.62,42
1139,12-Nov,4,6,43,43,1,43,237,$373,$15,$226,$96,18,18,0,21.26,1.28,3407.40,1418.65,91
1139,12-Nov,4,7,93,92,1,92,361,$678,$31,$425,$209,75,75,0,34.47,1.25,7265.54,2679.23,204
1139,12-Nov,4,8,117,117,1,113,473,$841,$38,$522,$271,117,117,0,20.06,1.30,12142.26,4323.49,274
1139,12-Nov,4,9,163,163,0,160,801,"$1,272",$50,$794,$377,131,131,0,18.55,1.34,15386.60,5000.47,354
1139,12-Nov,4,10,232,231,1,226,1158,"$1,998",$91,"$1,271",$573,166,165,0,20.51,1.48,21615.18,5921.68,564
1139,12-Nov,4,11,813,813,4,781,2047,"$9,270",$179,"$5,906","$2,148",338,336,0,23.93,1.51,40972.34,23795.06,854
1139,12-Nov,4,12,575,572,9,560,1636,"$5,749",$150,"$3,697","$1,499",738,736,0,21.13,1.35,47586.07,24339.40,908
1139,12-Nov,4,13,376,376,5,368,1248,"$3,514",$152,"$2,226",$973,757,755,0,27.19,1.36,37860.73,12733.04,841
1139,12-Nov,4,14,288,288,4,276,998,"$2,580",$88,"$1,664",$682,655,653,0,21.33,1.37,25998.84,9351.45,630
1139,12-Nov,4,15,206,206,2,202,897,"$1,889",$68,"$1,184",$492,532,530,0,21.05,1.45,22297.21,7373.54,513
1139,12-Nov,4,16,314,314,3,305,1249,"$3,388",$113,"$2,219",$757,537,535,0,22.37,1.49,23870.64,7720.82,599
1139,12-Nov,4,17,826,822,13,800,2173,"$10,153",$169,"$6,614","$1,935",650,648,0,27.74,1.51,39329.84,23215.26,891
1139,12-Nov,4,18,885,883,8,858,1988,"$9,922",$165,"$6,411","$2,124",856,854,0,24.10,1.49,53054.16,37079.65,1049
1139,12-Nov,4,19,589,586,11,570,1555,"$6,802",$138,"$4,472","$1,412",854,852,0,22.39,1.48,47865.43,25367.35,1007
1139,12-Nov,4,20,413,411,5,394,1260,"$4,109",$106,"$2,680",$966,782,780,0,20.45,1.38,34227.17,15124.79,807
1139,12-Nov,4,21,338,338,3,333,1108,"$3,236",$89,"$2,041",$800,557,557,0,19.68,1.39,24876.37,10728.10,589
1139,12-Nov,4,22,237,237,3,236,955,"$2,027",$87,"$1,241",$563,340,340,0,24.15,1.43,18216.41,7018.39,440
1139,12-Nov,4,23,197,196,1,188,750,"$1,766",$85,"$1,068",$459,199,199,0,22.60,1.50,12061.93,4890.54,301
1139,13-Nov,5,0,104,103,2,102,601,$913,$49,$559,$217,132,132,0,24.82,1.45,6578.69,2451.00,177
1139,13-Nov,5,1,51,51,0,51,435,$454,$20,$269,$107,73,73,0,20.76,1.48,3018.55,1160.64,88
1139,13-Nov,5,2,22,22,0,21,284,$184,$14,$106,$44,25,25,0,33.50,1.24,1379.96,424.63,36
1139,13-Nov,5,3,6,6,1,6,182,$49,$7,$28,$13,15,15,0,20.33,1.29,853.38,136.78,26
1139,13-Nov,5,4,6,6,0,6,155,$49,$4,$29,$14,9,9,0,15.00,1.29,742.95,168.45,17
1139,13-Nov,5,5,12,12,0,12,178,$88,$2,$53,$28,7,7,0,17.67,1.47,1377.97,202.53,51
1139,13-Nov,5,6,47,47,0,47,201,$408,$15,$250,$95,19,19,0,22.17,1.48,4761.58,1368.82,140
1139,13-Nov,5,7,90,90,0,90,364,$642,$32,$402,$181,81,81,0,20.31,1.19,9348.10,2986.37,224
1139,13-Nov,5,8,122,122,1,119,494,$966,$56,$591,$251,128,128,0,19.07,1.35,13769.23,4441.12,308
1139,13-Nov,5,9,150,150,1,150,632,"$1,122",$59,$709,$308,139,139,0,18.48,1.31,17385.18,4839.60,389
1139,13-Nov,5,10,190,188,2,185,1064,"$2,004",$73,"$1,278",$431,173,173,0,21.06,1.53,23680.75,4753.73,581
1139,13-Nov,5,11,753,747,4,723,1857,"$8,490",$176,"$5,713","$1,797",346,345,0,23.62,1.46,42157.07,23615.35,889
1139,13-Nov,5,12,915,913,18,886,2220,"$8,726",$162,"$5,541","$2,126",744,743,0,21.25,1.40,49307.91,30498.82,965
1139,13-Nov,5,13,967,962,41,923,2262,"$8,819",$239,"$5,625","$2,190",763,762,0,20.68,1.36,44346.18,35434.82,901
1139,13-Nov,5,14,644,643,35,610,1749,"$5,915",$131,"$3,797","$1,332",668,667,0,21.10,1.38,35129.99,24301.58,781
1139,13-Nov,5,15,526,522,13,509,1701,"$4,774",$101,"$3,093","$1,068",526,525,0,20.38,1.32,27572.03,18682.81,636
1139,13-Nov,5,16,689,688,38,667,2168,"$7,162",$219,"$4,697","$1,403",542,541,0,24.75,1.35,27238.80,19673.67,673
1139,13-Nov,5,17,1080,1075,18,1029,2567,"$13,887",$169,"$9,130","$2,157",655,654,0,33.44,1.49,38952.04,34527.93,912
1139,13-Nov,5,18,1249,1248,19,1196,2891,"$15,349",$163,"$10,018","$2,376",860,859,0,35.82,1.38,51373.16,49123.66,997
1139,13-Nov,5,19,983,979,18,935,2401,"$11,147",$166,"$7,252","$1,866",859,858,0,30.48,1.25,50550.11,48892.99,997
1139,13-Nov,5,20,675,673,6,634,1871,"$7,273",$136,"$4,643","$1,391",790,789,0,22.30,1.38,42835.65,29773.23,920
1139,13-Nov,5,21,508,506,11,488,1561,"$4,910",$126,"$3,120","$1,038",583,583,0,24.31,1.38,28192.44,18140.32,670
1139,13-Nov,5,22,435,432,7,417,1311,"$4,320",$111,"$2,761",$906,357,357,0,23.55,1.46,20654.94,12971.17,468
1139,13-Nov,5,23,248,248,2,241,1008,"$2,311",$86,"$1,403",$514,222,222,0,21.22,1.49,13398.13,7764.57,360
1139,14-Nov,6,0,154,151,2,147,736,"$1,560",$70,$961,$319,132,132,0,23.88,1.48,7543.86,4194.82,207
1139,14-Nov,6,1,81,79,3,77,548,$668,$47,$405,$161,74,74,0,21.49,1.36,3865.95,2079.33,125
1139,14-Nov,6,2,25,25,1,25,363,$229,$17,$135,$53,25,25,0,19.40,1.53,1528.70,662.16,48
1139,14-Nov,6,3,11,11,0,11,286,$102,$12,$60,$25,16,16,0,63.36,1.82,529.35,267.50,21
1139,14-Nov,6,4,7,7,0,7,198,$67,$0,$37,$18,10,10,0,29.43,1.75,512.67,134.24,18
1139,14-Nov,6,5,8,8,0,8,184,$66,$2,$39,$18,8,8,0,51.88,1.29,1038.41,309.87,34
1139,14-Nov,6,6,53,53,1,53,316,$445,$20,$267,$106,22,22,0,20.81,1.38,3887.93,1061.48,114
1139,14-Nov,6,7,144,143,3,142,562,"$1,315",$59,$812,$301,78,78,0,23.35,1.49,8973.20,4064.10,215
1139,14-Nov,6,8,251,249,2,248,761,"$2,239",$81,"$1,429",$512,119,119,0,24.09,1.32,14623.38,8469.83,322
1139,14-Nov,6,9,260,259,4,257,959,"$2,385",$86,"$1,537",$605,128,128,0,22.68,1.38,19826.29,10518.63,433
1139,14-Nov,6,10,289,286,4,282,1201,"$2,911",$101,"$1,921",$664,157,157,0,22.70,1.40,24968.40,9537.44,597
1139,14-Nov,6,11,877,877,13,827,2586,"$13,551",$167,"$9,384","$2,120",334,333,0,26.09,1.50,41950.47,24285.09,887
1139,14-Nov,6,12,897,893,19,853,2774,"$9,689",$174,"$6,327","$2,078",711,710,0,23.27,1.40,50599.46,33625.28,956
1139,14-Nov,6,13,603,601,5,580,2324,"$6,239",$155,"$4,035","$1,395",725,724,0,21.70,1.40,44322.38,21696.92,927
1139,14-Nov,6,14,401,398,7,386,2296,"$3,958",$88,"$2,612",$830,654,653,0,20.31,1.34,31662.34,13583.75,730
1139,14-Nov,6,15,323,322,4,313,2168,"$3,386",$107,"$2,257",$685,542,541,0,22.39,1.42,27221.46,9732.98,604
1139,14-Nov,6,16,404,403,8,380,2207,"$4,530",$127,"$2,985",$864,551,550,0,23.20,1.42,28419.25,9737.08,681
1139,14-Nov,6,17,925,923,16,873,2660,"$12,958",$176,"$8,616","$2,197",624,623,0,26.50,1.50,44921.14,23482.98,961
1139,14-Nov,6,18,919,918,6,869,2504,"$11,582",$163,"$7,625","$2,177",784,783,0,25.51,1.50,53916.05,33380.10,1034
1139,14-Nov,6,19,679,677,15,652,2083,"$7,648",$151,"$4,982","$1,567",772,771,0,27.48,1.43,48720.87,24952.71,993
1139,14-Nov,6,20,444,442,10,426,1555,"$4,451",$121,"$2,882",$923,727,726,0,21.90,1.39,37032.35,15647.53,823
1139,14-Nov,6,21,339,339,4,329,1494,"$3,394",$93,"$2,165",$703,535,535,0,21.99,1.39,27211.65,9926.88,633
1139,14-Nov,6,22,278,278,3,273,1241,"$2,581",$79,"$1,618",$578,328,328,0,29.62,1.37,20758.66,7742.18,477
1139,14-Nov,6,23,192,192,2,186,1080,"$1,827",$74,"$1,120",$415,195,195,0,24.21,1.55,15758.19,5865.89,365
1139,15-Nov,7,0,127,125,3,123,868,"$1,127",$61,$703,$261,122,122,0,22.51,1.44,9996.44,2892.02,259
1139,15-Nov,7,1,63,63,1,61,642,$584,$24,$347,$128,73,73,0,21.48,1.39,5464.59,1710.47,149
1139,15-Nov,7,2,27,27,1,27,468,$248,$10,$148,$57,27,27,0,17.70,1.57,2275.84,801.50,65
1139,15-Nov,7,3,13,13,1,13,316,$113,$4,$66,$29,16,16,0,20.85,1.55,963.26,312.24,32
1139,15-Nov,7,4,6,6,0,6,204,$64,$5,$37,$15,10,10,0,26.33,1.46,650.97,135.93,16
1139,15-Nov,7,5,8,8,0,8,190,$52,$2,$30,$19,6,6,0,18.13,1.18,1200.31,184.83,40
1139,15-Nov,7,6,29,29,0,27,240,$247,$19,$147,$63,16,16,0,18.69,1.61,4068.21,793.47,112
1139,15-Nov,7,7,122,122,2,119,431,"$1,139",$46,$721,$256,73,73,0,20.34,1.36,9331.53,3041.60,234
1139,15-Nov,7,8,217,217,2,215,672,"$1,908",$72,"$1,200",$448,111,111,0,22.24,1.32,15650.12,6588.58,341
1139,15-Nov,7,9,302,302,2,296,985,"$2,800",$88,"$1,800",$694,118,118,0,23.96,1.41,21036.74,9674.46,471
1139,15-Nov,7,10,323,322,4,312,1275,"$3,202",$90,"$2,051",$758,147,147,0,24.33,1.42,27859.41,10339.65,637
1139,15-Nov,7,11,835,831,20,790,2057,"$11,115",$175,"$7,618","$2,002",301,300,0,25.68,1.48,42386.71,22598.38,897
1139,15-Nov,7,12,922,921,10,893,2227,"$10,335",$172,"$6,654","$2,169",640,639,0,23.58,1.47,51203.72,31052.64,962
1139,15-Nov,7,13,655,653,6,628,1760,"$6,884",$134,"$4,497","$1,519",654,653,0,22.89,1.40,44892.67,23997.81,914
1139,15-Nov,7,14,429,428,4,408,1437,"$4,162",$126,"$2,723",$884,592,591,0,21.55,1.31,32888.39,14811.53,742
1139,15-Nov,7,15,322,320,7,308,1271,"$3,084",$93,"$2,042",$669,504,503,0,20.90,1.34,25514.55,10283.18,574
1139,15-Nov,7,16,394,391,3,380,1510,"$4,605",$127,"$3,129",$855,508,507,0,23.04,1.45,26192.55,9741.46,633
1139,15-Nov,7,17,1018,1017,12,968,2620,"$13,599",$166,"$8,975","$2,386",572,571,0,26.98,1.52,41497.23,25053.31,923
1139,15-Nov,7,18,1072,1065,25,1021,2352,"$12,886",$178,"$8,376","$2,436",724,723,0,28.00,1.50,50738.12,41189.98,979
1139,15-Nov,7,19,643,642,10,613,1845,"$6,758",$140,"$4,344","$1,490",708,707,0,22.74,1.42,46229.89,28151.63,949
1139,15-Nov,7,20,419,419,6,407,1384,"$4,202",$96,"$2,698",$868,681,680,0,20.63,1.35,32501.65,16032.83,746
1139,15-Nov,7,21,321,318,4,307,1170,"$2,956",$91,"$1,862",$658,498,498,0,22.78,1.42,23203.13,9602.80,562
1139,15-Nov,7,22,242,239,2,233,986,"$2,030",$87,"$1,278",$497,301,301,0,19.38,1.38,16770.16,6910.64,381
1139,15-Nov,7,23,193,193,3,187,847,"$1,680",$59,"$1,011",$392,186,186,0,28.82,1.37,10746.97,4265.65,282
1139,16-Nov,1,0,87,86,2,85,682,$877,$31,$539,$181,115,115,0,22.77,1.47,6225.60,2521.68,161
1139,16-Nov,1,1,46,46,1,46,494,$372,$32,$215,$97,70,70,0,19.07,1.52,2704.68,1153.33,82
1139,16-Nov,1,2,22,22,0,22,302,$209,$4,$123,$46,23,23,0,38.45,1.57,1420.07,465.76,36
1139,16-Nov,1,3,8,8,0,7,247,$50,$2,$26,$16,16,16,0,20.00,1.62,593.67,170.64,18
1139,16-Nov,1,4,5,5,0,5,180,$75,$1,$43,$15,9,9,0,24.60,2.57,496.95,158.46,17
1139,16-Nov,1,5,9,9,0,9,0,$66,$3,$37,$22,7,7,0,19.11,1.58,1285.99,162.08,39
1139,16-Nov,1,6,47,47,0,47,260,$382,$16,$225,$96,19,19,0,19.57,1.47,4408.30,1160.22,114
1139,16-Nov,1,7,74,74,0,74,328,$514,$20,$318,$148,67,67,0,18.05,1.19,8333.07,2560.40,200
1139,16-Nov,1,8,147,145,0,143,489,"$1,044",$34,$670,$293,103,103,0,18.45,1.17,11896.04,4098.00,270
1139,16-Nov,1,9,135,135,0,133,632,$994,$49,$632,$269,117,117,0,17.21,1.14,14574.89,4513.10,339
1139,16-Nov,1,10,182,181,4,179,1013,"$1,523",$53,$952,$399,148,148,0,20.53,1.50,20201.35,4527.23,510
1139,16-Nov,1,11,741,735,5,703,1999,"$7,830",$176,"$4,996","$1,750",323,322,0,30.30,1.54,37882.01,22975.38,810
1139,16-Nov,1,12,609,609,5,593,2744,"$5,804",$130,"$3,692","$1,452",658,657,0,20.30,1.43,45738.80,23018.07,874
1139,16-Nov,1,13,383,383,7,372,1587,"$3,696",$140,"$2,400",$897,672,671,0,20.22,1.38,36891.97,12693.22,809
1139,16-Nov,1,14,256,255,2,245,1240,"$2,221",$86,"$1,427",$534,595,594,0,19.29,1.36,25948.05,8461.72,618
1139,16-Nov,1,15,235,235,3,229,1185,"$2,177",$77,"$1,422",$493,494,493,0,39.43,1.36,22391.97,6263.26,495
